contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid_ask_spread,days_to_expire,optionType
AAPL260227P00277500,2026-02-25 19:14:50+00:00,277.5,3.75,914.0,895,274.83,27.64,0.05,2.073,p
AAPL260227P00280000,2026-02-25 19:05:43+00:00,280.0,5.9,313.0,350,274.45,27.62,0.35,2.079,p
AAPL260227P00282500,2026-02-25 16:50:35+00:00,282.5,9.4,24.0,20,273.3,27.54,0.75,2.173,p
AAPL260227P00285000,2026-02-25 17:55:09+00:00,285.0,11.15,34.0,30,274.242,27.55,1.85,2.128,p
AAPL260227P00287500,2026-02-24 20:14:01+00:00,287.5,14.88,4.0,4,271.66,28.97,1.7,3.032,p
AAPL260227P00290000,2026-02-24 17:40:58+00:00,290.0,17.93,120.0,0,272.145,28.38,2.05,3.138,p
AAPL260227P00292500,2026-02-20 17:55:09+00:00,292.5,30.35,1.0,0,262.57,29.13,2.35,7.128,p
AAPL260227P00295000,2026-02-12 14:42:11+00:00,295.0,22.31,8.0,0,263.61,30.54,2.15,15.262,p
AAPL260227P00300000,2026-02-19 15:21:20+00:00,300.0,36.7,10.0,0,263.12,29.62,2.15,8.235,p
AAPL260227P00302500,2026-02-20 17:55:09+00:00,302.5,40.2,1.0,0,262.57,29.13,2.15,7.128,p
AAPL260227P00305000,2026-02-12 16:51:07+00:00,305.0,40.0,1.0,0,263.61,30.54,2.15,15.173,p
AAPL260227P00310000,2026-02-23 20:50:19+00:00,310.0,36.0,1.0,7,266.73,29.12,2.2,4.007,p
AAPL260227P00315000,2026-02-23 20:50:19+00:00,315.0,47.35,7.0,0,266.73,29.12,2.15,4.007,p
AAPL260227P00365000,2026-02-23 20:16:58+00:00,365.0,98.47,1.0,0,266.79,29.33,2.15,4.03,p
AAPL260227P00395000,2026-02-24 20:50:49+00:00,395.0,121.62,1.0,0,272.28,28.8,2.15,3.006,p
AAPL260227P00400000,2026-02-20 15:17:39+00:00,400.0,139.16,1.0,0,261.445,29.33,2.35,7.238,p
AAPL260302C00190000,2026-02-17 20:54:50+00:00,190.0,73.25,,29,263.61,30.54,2.75,13.004,c
AAPL260302C00220000,2026-02-25 16:02:42+00:00,220.0,54.0,4.0,2,273.715,27.66,2.6,5.206,c
AAPL260302C00240000,2026-02-24 17:50:59+00:00,240.0,33.45,6.0,7,272.61,28.23,2.35,6.131,c
AAPL260302C00242500,2026-02-20 17:22:01+00:00,242.5,20.0,1.0,1,261.765,29.57,2.3,10.151,c
AAPL260302C00245000,2026-02-24 19:20:52+00:00,245.0,27.18,2.0,3,272.15,28.83,2.0,6.069,c
AAPL260302C00250000,2026-02-25 17:24:26+00:00,250.0,24.0,3.0,22,273.79,27.43,1.4,5.15,c
AAPL260302C00252500,2026-02-25 18:40:31+00:00,252.5,22.0,2.0,19,274.54,27.63,1.6,5.097,c
AAPL260302C00255000,2026-02-24 16:47:50+00:00,255.0,18.59,3.0,61,273.04,28.35,1.9,6.175,c
AAPL260302C00257500,2026-02-24 15:19:01+00:00,257.5,15.85,2.0,22,273.325,28.49,1.25,6.237,c
AAPL260302C00260000,2026-02-25 18:47:14+00:00,260.0,14.76,206.0,258,274.52,27.6,0.85,5.092,c
AAPL260302C00262500,2026-02-25 19:14:11+00:00,262.5,12.66,111.0,126,274.83,27.63,0.5,5.073,c
AAPL260302C00265000,2026-02-25 19:03:42+00:00,265.0,10.35,85.0,1110,274.475,27.64,0.5,5.081,c
AAPL260302C00267500,2026-02-25 19:08:31+00:00,267.5,7.98,366.0,623,274.68,27.62,0.65,5.077,c
AAPL260302C00270000,2026-02-25 19:07:45+00:00,270.0,5.94,416.0,686,274.59,27.61,0.2,5.078,c
AAPL260302C00272500,2026-02-25 19:18:02+00:00,272.5,4.37,906.0,555,274.815,27.58,0.1,5.071,c
AAPL260302C00275000,2026-02-25 19:22:03+00:00,275.0,2.64,3384.0,1473,274.5,27.57,0.07,5.068,c
AAPL260302C00277500,2026-02-25 19:20:32+00:00,277.5,1.55,650.0,488,274.595,27.58,0.06,5.069,c
AAPL260302C00280000,2026-02-25 19:21:26+00:00,280.0,0.8,4312.0,2715,274.595,27.58,0.04,5.068,c
AAPL260302C00282500,2026-02-25 19:20:33+00:00,282.5,0.4,3726.0,6407,274.595,27.58,0.04,5.069,c
AAPL260302C00285000,2026-02-25 19:16:47+00:00,285.0,0.25,395.0,536,274.79,27.61,0.04,5.072,c
AAPL260302C00287500,2026-02-25 18:01:53+00:00,287.5,0.11,227.0,303,274.275,27.48,0.05,5.124,c
AAPL260302C00290000,2026-02-25 19:19:41+00:00,290.0,0.05,44.0,539,274.521,27.6,0.01,5.07,c
