contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
AMZN271217P00310000,2026-02-06 14:45:52+00:00,310.0,109.4,1.0,30,216.49,35.29,100.15,100.8,0.65,679.26,p
AMZN271217P00315000,2026-02-13 20:46:25+00:00,315.0,118.98,1249.0,1028,210.085,34.72,104.3,104.9,0.6,672.009,p
AMZN271217P00320000,2026-03-03 16:44:26+00:00,320.0,117.05,2.0,292,206.32,38.65,108.4,109.0,0.6,654.177,p
AMZN271217P00325000,2026-02-27 20:54:51+00:00,325.0,118.65,9.0,25,209.77,35.71,112.6,113.2,0.6,658.004,p
AMZN271217P00330000,2026-03-04 14:49:28+00:00,330.0,120.44,3.0,26,212.66,36.79,117.15,117.7,0.55,653.257,p
AMZN271217P00340000,2026-03-04 18:34:39+00:00,340.0,126.35,8.0,24,216.55,35.41,125.85,126.4,0.55,653.101,p
AMZN271217P00350000,2026-03-04 14:53:11+00:00,350.0,137.35,2.0,69,214.3,36.69,135.05,135.6,0.55,653.255,p
AMZN271217P00360000,2026-02-05 20:53:10+00:00,360.0,139.9,3.0,0,210.085,34.72,144.4,144.9,0.5,680.005,p
AMZN271217P00370000,2026-02-13 20:46:30+00:00,370.0,171.45,1110.0,3345,210.085,34.72,152.0,156.0,4.0,672.009,p
AMZN280121C00105000,2026-03-03 15:25:01+00:00,105.0,111.0,2.0,11,202.995,41.44,121.0,124.3,3.3,689.233,c
AMZN280121C00110000,2026-03-03 15:22:56+00:00,110.0,106.75,4.0,272,202.9,41.49,116.5,120.05,3.55,689.234,c
AMZN280121C00115000,2026-03-03 14:44:09+00:00,115.0,104.0,1.0,186,204.09,41.33,113.0,116.0,3.0,689.261,c
AMZN280121C00120000,2026-03-04 15:20:01+00:00,120.0,111.0,1.0,189,215.74,35.41,109.0,112.0,3.0,688.236,c
