contractSymbol,lastTradeDate,strike,lastPrice,volume,inTheMoney,IV_yf,underlyingPriceAtTrade,impliedVolatility,riskFreeRate
SPY280616P00585000,2026-02-09 19:23:58+00:00,585.0,33.61,1.0,0,1.5635,695.67,24.7014,0.036429998
SPY280616P00590000,2026-01-30 17:54:04+00:00,590.0,35.69,1.0,0,1.5635,,24.8008,0.036429998
SPY280616P00595000,2026-01-22 19:56:18+00:00,595.0,35.62,1.0,0,1.5635,,24.2818,0.036429998
SPY280616P00600000,2026-02-09 16:05:06+00:00,600.0,37.21,70.0,0,1.5635,694.44,24.3434,0.036429998
SPY280616P00605000,2026-02-09 19:23:58+00:00,605.0,37.96,1.0,0,1.5635,695.67,24.1738,0.036429998
SPY280616P00610000,2026-01-29 17:47:00+00:00,610.0,39.96,4.0,0,1.5635,,24.1919,0.036429998
SPY280616P00615000,2026-02-05 17:11:34+00:00,615.0,43.72,1.0,0,1.5635,679.41,23.7922,0.036429998
SPY280616P00620000,2026-02-05 20:51:54+00:00,620.0,46.59,20.0,0,1.5635,676.42,23.9067,0.036429998
SPY280616P00625000,2026-02-09 17:31:54+00:00,625.0,42.73,2.0,0,1.5635,695.12,23.6191,0.036429998
SPY280616P00630000,2026-02-05 20:51:16+00:00,630.0,49.32,12.0,0,1.5635,676.71,23.6679,0.036429998
SPY280616P00635000,2026-02-05 20:48:09+00:00,635.0,50.7,2.0,0,1.5635,676.63,23.5235,0.036429998
SPY280616P00640000,2026-01-16 18:53:47+00:00,640.0,45.93,4.0,0,0.7822,,22.9568,0.036429998
SPY280616P00645000,2026-02-03 14:56:41+00:00,645.0,47.35,2.0,0,0.7822,,22.854,0.036429998
SPY280616P00650000,2026-02-06 17:24:30+00:00,650.0,51.4,3.0,0,0.7822,688.06,23.026,0.036429998
SPY280616P00655000,2026-02-05 16:34:22+00:00,655.0,55.18,12.0,0,0.7822,680.35,22.919,0.036429998
SPY280616P00660000,2026-02-09 18:13:27+00:00,660.0,52.25,2.0,0,0.7822,694.79,22.7401,0.036429998
SPY280616P00665000,2026-01-14 16:55:53+00:00,665.0,55.51,2.0,0,0.7822,,23.0393,0.036429998
SPY280616P00670000,2026-01-29 16:04:25+00:00,670.0,58.08,1.0,0,0.3916,,23.1998,0.036429998
SPY280616P00675000,2026-02-06 15:52:44+00:00,675.0,60.06,1.0,0,0.3916,684.74,22.4145,0.036429998
SPY280616P00680000,2026-02-05 16:15:33+00:00,680.0,65.18,3.0,0,0.3916,677.75,22.5931,0.036429998
SPY280616P00685000,2026-02-09 16:51:52+00:00,685.0,60.02,5.0,0,0.1963,695.48,22.2208,0.036429998
SPY280616P00690000,2026-02-09 18:58:39+00:00,690.0,61.76,1.0,0,0.0987,694.67,22.0619,0.036429998
SPY280616P00695000,2026-02-06 20:55:17+00:00,695.0,64.43,8.0,1,0.001,691.575,21.9319,0.036429998
SPY280616P00700000,2026-02-06 19:38:37+00:00,700.0,67.2,2.0,1,0.001,689.2001,21.8686,0.036429998
SPY280616P00705000,2026-02-06 20:51:40+00:00,705.0,68.0,2.0,1,0.001,691.94,21.7534,0.036429998
SPY280616P00710000,2026-01-22 15:05:38+00:00,710.0,70.26,1.0,1,0.001,,21.9385,0.036429998
SPY280616P00715000,2026-01-16 21:06:22+00:00,715.0,70.37,4.0,1,0.001,,21.3971,0.036429998
SPY280616P00720000,2026-01-23 16:37:33+00:00,720.0,72.64,2.0,1,0.001,,21.3886,0.036429998
SPY280616P00725000,2026-02-03 16:43:26+00:00,725.0,75.6,1.0,1,0.001,,21.5405,0.036429998
SPY280616P00730000,2026-02-09 16:44:33+00:00,730.0,76.85,3.0,1,0.001,695.17,21.38,0.036429998
SPY280616P00735000,2026-01-29 20:57:28+00:00,735.0,78.72,1.0,1,0.001,,21.1298,0.036429998
SPY280616P00740000,2026-01-21 18:31:27+00:00,740.0,86.78,2.0,1,0.001,,22.488,0.036429998
SPY280616P00745000,2026-01-23 15:04:15+00:00,745.0,84.26,1.0,1,0.001,,21.2737,0.036429998
SPY280616P00750000,2026-02-09 18:14:34+00:00,750.0,85.94,1.0,1,0.001,694.725,21.1487,0.036429998
SPY280616P00755000,2026-01-16 19:42:10+00:00,755.0,87.52,4.0,1,0.001,,20.8342,0.036429998
SPY280616P00760000,2026-02-06 15:52:44+00:00,760.0,96.37,1.0,1,0.001,684.74,21.3369,0.036429998
SPY280616P00765000,2026-02-05 19:04:02+00:00,765.0,103.24,12.0,1,0.001,678.95,21.6818,0.036429998
